Compound,Tc,Pc,w,Vc,Zc,Antoine_A,Antoine_B,Antoine_C,HeatCap_A,HeatCap_B,HeatCap_C,HeatCap_E,S/N
nitrogen dioxide,-999,-999,-999,-999,-999,-999,-999,-999,4.982,1.195,0,-0.792,94
nitromethane,588.2,63.1,0.348,173,0.223,14.7513,3331.7,227.6,-999,-999,-999,-999,68
nitrous oxide,309.6,72.45,0.141,97.4,0.274,-999,-999,-999,5.328,1.214,0,-0.928,93
n-nonane,594.6,22.9,0.444,544,0.252,13.9854,3311.19,202.694,-999,-999,-999,-999,9
n-octane,568.7,24.9,0.4,486,0.256,13.9346,3123.13,209.635,4.108,70.567,-22.208,0,8
n-pentane,469.7,33.7,0.252,313,0.27,13.7667,2451.88,232.014,2.464,45.351,-14.111,0,5
oxygen,154.6,50.43,0.022,73.4,0.288,-999,-999,-999,3.639,0.506,0,-0.227,82
o-xylene,630.3,37.34,0.31,369,0.263,14.0415,3358.79,212.041,-999,-999,-999,-999,35
phenol,694.3,61.3,0.444,229,0.243,14.4387,3507.8,175.4,-999,-999,-999,-999,60
propane,369.8,42.48,0.152,200,0.276,-999,-999,-999,1.213,28.785,-8.824,0,3
propylene,365.6,46.65,0.14,188.4,0.289,-999,-999,-999,1.637,22.706,-6.915,0,19
p-xylene,616.2,35.11,0.322,379,0.26,14.0579,3331.45,214.627,-999,-999,-999,-999,37
steam,647.1,220.55,0.345,55.9,0.229,16.3872,3885.7,230.17,3.47,1.45,0,0.121,98
styrene,636,38.4,0.297,352,0.256,-999,-999,-999,2.05,50.192,-16.662,0,38
sulfur dioxide,430.8,78.84,0.245,122,0.269,-999,-999,-999,5.699,0.801,0,-1.015,90
sulfur trioxide,490.9,82.1,0.424,127,0.255,-999,-999,-999,8.06,1.056,0,-2.028,91
tert-butanol,-999,-999,-999,-999,-999,14.8445,2658.29,177.65,-999,-999,-999,-999,57
tetrafluoroethane,374.2,40.6,0.327,198,0.258,-999,-999,-999,-999,-999,-999,-999,76
toluene,591.8,41.06,0.262,316,0.264,13.932,3056.96,217.625,0.29,47.052,-15.716,0,32
trans-2-butene,428.6,41,0.218,237.7,0.275,-999,-999,-999,-999,-999,-999,-999,22
xenon,289.7,58.4,0,118,0.286,-999,-999,-999,-999,-999,-999,-999,79
